status,reason,quantum_line_id,source_uid,ro_number,wo_number,vendor_name,pn,description,class_from_buffer,out_date,returned_date,qty_repair,qty_reserved,qty_repaired,target_table,target_ids
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1132,rod:10171,R2955,W103375,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2021-04-08 00:00:00","2021-04-09 00:00:00",44.0000,0.0000,44.0000,workorders,103375
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1136,rod:10384,R3006,W103375,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2021-04-28 00:00:00","2021-05-17 00:00:00",1.0000,0.0000,1.0000,workorders,103375
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1133,rod:10418,R3013,W103375,"Ampere Metal Finishing Inc",D57270,Dowel,DETAIL_PART,"2021-04-30 00:00:00","2021-05-13 00:00:00",10.0000,0.0000,10.0000,workorders,103375
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1134,rod:10431,R3015,W103375,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2021-04-30 00:00:00","2021-05-03 00:00:00",48.0000,0.0000,48.0000,workorders,103375
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1131,rod:11064,R3171,W103376,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2021-06-30 00:00:00","2021-07-06 00:00:00",4.0000,0.0000,4.0000,workorders,103376
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1194,rod:11711,R3384,W103750,"Collins Aerospace",53014-103,"Servo Valve",DETAIL_PART,"2021-10-01 00:00:00","2022-01-14 00:00:00",1.0000,0.0000,1.0000,workorders,103750
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1355,rod:17110,R4801,W105105,"Airco Plating Co., Inc.",2801-0007,Bolt,DETAIL_PART,"2023-05-03 00:00:00","2023-06-16 00:00:00",1.0000,0.0000,1.0000,workorders,105105
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2031,rod:17467,R4879,W105167,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2023-06-05 00:00:00","2023-06-12 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2032,rod:17523,R4889,W105167,"Micro Custom Tools",1170-1401,"Sliding Tube",DETAIL_PART,"2023-06-07 00:00:00","2023-06-12 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2021,rod:17573,R4903,W105167,"Ontario Chromium Plating",1170-1402,"Wheel Axle",DETAIL_PART,"2023-06-09 00:00:00","2023-06-19 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2026,rod:17612,R4909,W105167,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2023-06-12 00:00:00","2023-06-15 00:00:00",28.0000,0.0000,28.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2027,rod:17630,R4911,W105167,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2023-06-12 00:00:00","2023-06-15 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1356,rod:17708,R4920,W105105,"SkyService F.B.O. Inc.",2801-0007,Bolt,DETAIL_PART,"2023-06-15 00:00:00","2023-06-22 00:00:00",1.0000,0.0000,1.0000,workorders,105105
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2028,rod:17704,R4929,W105167,"SkyService F.B.O. Inc.",1170-1402,"Wheel Axle",DETAIL_PART,"2023-06-19 00:00:00","2023-06-20 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2033,rod:17728,R4934,W105167,"Metal Improvement Co, LLC",1170-1402,"Wheel Axle",DETAIL_PART,"2023-06-20 00:00:00","2023-07-11 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2029,rod:17874,R4973,W105167,"Ontario Chromium Plating",1170-1402,"Wheel Axle",DETAIL_PART,"2023-07-01 00:00:00","2023-07-12 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2022,rod:18082,R5022,W105167,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2023-07-20 00:00:00","2023-07-21 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2023,rod:18107,R5024,W105167,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2023-07-21 00:00:00","2023-07-26 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1357,rod:18299,R5072,W105337,"Airco Plating Co., Inc.",2801-0007,Bolt,DETAIL_PART,"2023-08-04 00:00:00","2023-10-10 00:00:00",1.0000,0.0000,1.0000,workorders,105337
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1358,rod:18857,R5212,W104736,"SkyService F.B.O. Inc.",2801-0007,Bolt,DETAIL_PART,"2023-09-12 00:00:00","2023-09-14 00:00:00",1.0000,0.0000,1.0000,workorders,104736
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",518,rod:19425,R5359,W105582,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2023-10-24 00:00:00","2023-12-06 00:00:00",2.0000,0.0000,2.0000,workorders,105582
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",519,rod:19534,R5391,W105582,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2023-11-01 00:00:00","2023-11-02 00:00:00",1.0000,0.0000,1.0000,workorders,105582
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2024,rod:19554,R5396,W105167,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2023-11-01 00:00:00","2023-11-04 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2015,rod:19584,R5405,W105167,"Electroless Nickel Technologies Inc.",Anodizing,"Chemical Anodizig process",PROCESS_OR_LIST,"2023-11-03 00:00:00","2023-11-08 00:00:00",1.0000,0.0000,1.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2030,rod:19670,R5426,W105167,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2023-11-10 00:00:00","2023-11-13 00:00:00",3.0000,0.0000,3.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2016,rod:19689,R5431,W105167,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2023-11-13 00:00:00","2023-11-15 00:00:00",4.0000,0.0000,4.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2017,rod:19724,R5437,W105167,"Ampere Metal Finishing Inc",Passivation,Passivation,PROCESS_OR_LIST,"2023-11-15 00:00:00","2023-11-22 00:00:00",4.0000,0.0000,4.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2025,rod:19829,R5459,W105167,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2023-11-22 00:00:00","2023-11-27 00:00:00",4.0000,0.0000,4.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2018,rod:19943,R5479,W105167,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2023-11-29 00:00:00","2023-12-03 00:00:00",15.0000,0.0000,15.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1508,rod:20022,R5494,W105641,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2023-12-04 00:00:00","2023-12-06 00:00:00",26.0000,0.0000,26.0000,workorders,105641
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1490,rod:20062,R5508,W105642,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2023-12-06 00:00:00","2023-12-08 00:00:00",17.0000,0.0000,17.0000,workorders,105642
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1359,rod:20794,R5695,W105664,"Airco Plating Co., Inc.",2801-0007,Bolt,DETAIL_PART,"2024-02-09 00:00:00","2024-03-09 00:00:00",1.0000,0.0000,1.0000,workorders,105664
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1360,rod:20867,R5717,W105667,"Airco Plating Co., Inc.",2801-0007,Bolt,DETAIL_PART,"2024-02-15 00:00:00","2024-03-09 00:00:00",1.0000,0.0000,1.0000,workorders,105667
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",411,rod:21038,R5760,W105802,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2024-03-01 00:00:00","2024-03-04 00:00:00",10.0000,0.0000,10.0000,workorders,105802
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",520,rod:21949,R5975,W105582,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2024-04-29 00:00:00","2024-05-01 00:00:00",1.0000,0.0000,1.0000,workorders,105582
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",521,rod:22045,R6002,W105582,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2024-05-06 00:00:00","2024-05-13 00:00:00",5.0000,0.0000,5.0000,workorders,105582
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1043,rod:22521,R6156,W106116,"SkyService F.B.O. Inc.",NDT,"Non Destructive Test",STD_LIST_NDT,"2024-06-17 00:00:00","2024-06-26 00:00:00",41.0000,0.0000,41.0000,workorders,106116
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",1044,rod:22554,R6162,W106116,"Ampere Metal Finishing Inc",Anodizing,"Chemical Anodizig process",PROCESS_OR_LIST,"2024-06-20 00:00:00","2024-06-27 00:00:00",10.0000,0.0000,10.0000,workorders,106116
DETAIL_MULTIPLE_TDR_PROCESSES,"Component has multiple process rows; need rule to choose which process receives this RO.",1632,rod:24221,R6634,W106409,"Electroless Nickel Technologies Inc.",2233-0103,"Main Fitting",DETAIL_PART,"2024-11-04 00:00:00","2024-11-10 00:00:00",1.0000,0.0000,1.0000,tdr_processes,514|515|519|520|521
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2012,rod:24264,R6641,W105167,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2024-11-07 00:00:00","2024-11-11 00:00:00",10.0000,0.0000,10.0000,workorders,105167
WO_NOT_IN_AVIA,"Quantum WO is not present in local avia workorders.",2019,rod:24342,R6664,W105167,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2024-11-13 00:00:00","2024-11-14 00:00:00",9.0000,0.0000,9.0000,workorders,105167
DETAIL_PROCESS_TARGET_NOT_FOUND,"Process mapping exists, but no matching tdr_process row exists under this WO.",1634,rod:24385,R6679,W106409,"Ampere Metal Finishing Inc",Passivation,Passivation,PROCESS_OR_LIST,"2024-11-15 00:00:00","2024-11-22 00:00:00",10.0000,0.0000,10.0000,tdr_processes,process_name_ids=16
