status,reason,quantum_line_id,source_uid,ro_number,wo_number,vendor_name,pn,description,class_from_buffer,out_date,returned_date,qty_repair,qty_reserved,qty_repaired,target_table,target_ids
DETAIL_MULTIPLE_TDR_PROCESSES,"Component has multiple process rows; need rule to choose which process receives this RO.",1632,rod:24221,R6634,W106409,"Electroless Nickel Technologies Inc.",2233-0103,"Main Fitting",DETAIL_PART,"2024-11-04 00:00:00","2024-11-10 00:00:00",1.0000,0.0000,1.0000,tdr_processes,514|515|519|520|521
DETAIL_PROCESS_TARGET_NOT_FOUND,"Process mapping exists, but no matching tdr_process row exists under this WO.",1634,rod:24385,R6679,W106409,"Ampere Metal Finishing Inc",Passivation,Passivation,PROCESS_OR_LIST,"2024-11-15 00:00:00","2024-11-22 00:00:00",10.0000,0.0000,10.0000,tdr_processes,process_name_ids=16
DETAIL_PROCESS_TARGET_NOT_FOUND,"Process mapping exists, but no matching tdr_process row exists under this WO.",1635,rod:24515,R6711,W106409,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2024-11-25 00:00:00","2024-12-02 00:00:00",10.0000,0.0000,10.0000,tdr_processes,process_name_ids=19
DETAIL_MULTIPLE_TDR_PROCESSES,"Component has multiple process rows; need rule to choose which process receives this RO.",555,rod:25452,R6965,W106207,"Electroless Nickel Technologies Inc.",2233-0103,"Main Fitting",DETAIL_PART,"2025-02-04 00:00:00","2025-02-12 00:00:00",1.0000,0.0000,1.0000,tdr_processes,769|770|771|772|773|774
DETAIL_MULTIPLE_TDR_PROCESSES,"Component has multiple process rows; need rule to choose which process receives this RO.",556,rod:25654,R7017,W106207,"Metal Improvement Co, LLC",2233-0103,"Main Fitting",DETAIL_PART,"2025-02-18 00:00:00","2025-03-01 00:00:00",1.0000,0.0000,1.0000,tdr_processes,769|770|771|772|773|774
DETAIL_PROCESS_TARGET_NOT_FOUND,"Process mapping exists, but no matching tdr_process row exists under this WO.",558,rod:25863,R7069,W106207,"Ampere Metal Finishing Inc",Passivation,Passivation,PROCESS_OR_LIST,"2025-03-05 00:00:00","2025-03-11 00:00:00",10.0000,0.0000,10.0000,tdr_processes,process_name_ids=16
DETAIL_PROCESS_TARGET_NOT_FOUND,"Process mapping exists, but no matching tdr_process row exists under this WO.",559,rod:26002,R7115,W106207,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2025-03-11 00:00:00","2025-03-17 00:00:00",10.0000,0.0000,10.0000,tdr_processes,process_name_ids=19
DETAIL_COMPONENT_NOT_FOUND,"No TDR component with this PN under matched WO.",324,rod:29519,R8123,W107276,"RMS c/o Hamilton Sundstrand Corporation",53014-101,"Servo Valve",DETAIL_PART,"2025-10-31 00:00:00","2026-05-20 00:00:00",1.0000,0.0000,1.0000,tdrs/components,
DETAIL_PROCESS_TARGET_NOT_FOUND,"Process mapping exists, but no matching tdr_process row exists under this WO.",704,rod:29648,R8162,W106579,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2025-11-13 00:00:00","2025-11-18 00:00:00",32.0000,0.0000,32.0000,tdr_processes,process_name_ids=19
DETAIL_COMPONENT_NOT_FOUND,"No TDR component with this PN under matched WO.",695,rod:29652,R8163,W106579,"Airco Plating Co., Inc.",D58474-1,Pin,DETAIL_PART,"2025-11-13 00:00:00","2026-02-05 00:00:00",1.0000,0.0000,1.0000,tdrs/components,
DETAIL_COMPONENT_NOT_FOUND,"No TDR component with this PN under matched WO.",696,rod:29653,R8163,W106579,"Airco Plating Co., Inc.",D58807,Pin,DETAIL_PART,"2025-11-13 00:00:00","2025-12-22 00:00:00",1.0000,0.0000,1.0000,tdrs/components,
DETAIL_COMPONENT_NOT_FOUND,"No TDR component with this PN under matched WO.",705,rod:29649,R8163,W106579,"Airco Plating Co., Inc.",D56805-3,"Universal Joint",DETAIL_PART,"2025-11-13 00:00:00","2025-12-22 00:00:00",1.0000,0.0000,1.0000,tdrs/components,
DETAIL_COMPONENT_NOT_FOUND,"No TDR component with this PN under matched WO.",706,rod:29650,R8163,W106579,"Airco Plating Co., Inc.",D56841-1,Pin,DETAIL_PART,"2025-11-13 00:00:00","2025-12-22 00:00:00",1.0000,0.0000,1.0000,tdrs/components,
DETAIL_COMPONENT_NOT_FOUND,"No TDR component with this PN under matched WO.",707,rod:29651,R8163,W106579,"Airco Plating Co., Inc.",D57259-2,"Axle, Wheel",DETAIL_PART,"2025-11-13 00:00:00","2026-01-20 00:00:00",1.0000,0.0000,1.0000,tdrs/components,
DETAIL_PROCESS_MULTIPLE_TARGETS,"Process mapping matches multiple tdr_process rows under the WO.",1943,rod:29867,R8222,W107399,"Micro Custom Tools","CAD Plate","Cadmium Plating",STD_PROCESS_CAD,"2025-12-01 00:00:00","2025-12-15 00:00:00",7.0000,0.0000,7.0000,tdr_processes,83|91
DETAIL_COMPONENT_NOT_FOUND,"No TDR component with this PN under matched WO.",697,rod:29871,R8224,W106579,"Airco Plating Co., Inc.",D62052,Rod,DETAIL_PART,"2025-12-02 00:00:00","2026-03-29 00:00:00",1.0000,0.0000,1.0000,tdrs/components,
DETAIL_MULTIPLE_TDR_PROCESSES,"Component has multiple process rows; need rule to choose which process receives this RO.",1428,rod:29878,R8224,W107402,"Airco Plating Co., Inc.",52303-1,Piston,DETAIL_PART,"2025-12-02 00:00:00","2026-02-05 00:00:00",1.0000,0.0000,1.0000,tdr_processes,405|406|407|408|409|410|411|412|413
DETAIL_COMPONENT_NOT_FOUND,"No TDR component with this PN under matched WO.",2043,rod:29919,R8240,W107332,"Airco Plating Co., Inc.",47108-1,Piston,DETAIL_PART,"2025-12-05 00:00:00","2026-02-05 00:00:00",1.0000,0.0000,1.0000,tdrs/components,
DETAIL_NO_TDR_PROCESS,"Component exists but it has no tdr_processes row to receive RO/vendor/dates.",2044,rod:29975,R8254,W107332,"Airco Plating Co., Inc.",47143-1,"Trunnion Pin",DETAIL_PART,"2025-12-09 00:00:00","2026-01-27 00:00:00",1.0000,0.0000,1.0000,tdr_processes,tdrs=121
DETAIL_NO_TDR_PROCESS,"Component exists but it has no tdr_processes row to receive RO/vendor/dates.",2045,rod:29976,R8254,W107332,"Airco Plating Co., Inc.",47143-1,"Trunnion Pin",DETAIL_PART,"2025-12-09 00:00:00","2026-01-27 00:00:00",1.0000,0.0000,1.0000,tdr_processes,tdrs=121
DETAIL_PROCESS_MULTIPLE_TARGETS,"Process mapping matches multiple tdr_process rows under the WO.",1944,rod:30043,R8266,W107399,"Micro Custom Tools","CAD Removal","CAD Removal",STD_PROCESS_CAD,"2025-12-15 00:00:00","2025-12-25 00:00:00",2.0000,0.0000,2.0000,tdr_processes,70|84
DETAIL_MULTIPLE_TDR_PROCESSES,"Component has multiple process rows; need rule to choose which process receives this RO.",1945,rod:30044,R8267,W107399,"Masterchrome Co. Ltd",170-70612-001,"Pintle Pin",DETAIL_PART,"2025-12-15 00:00:00","2025-12-22 00:00:00",1.0000,0.0000,1.0000,tdr_processes,70|71|72|73|74|81|82|83|397|84|85|86|87|88|89|90|91|398
DETAIL_MULTIPLE_TDR_PROCESSES,"Component has multiple process rows; need rule to choose which process receives this RO.",1946,rod:30045,R8267,W107399,"Masterchrome Co. Ltd",170-70612-001,"Pintle Pin",DETAIL_PART,"2025-12-15 00:00:00","2025-12-22 00:00:00",1.0000,0.0000,1.0000,tdr_processes,70|71|72|73|74|81|82|83|397|84|85|86|87|88|89|90|91|398
DETAIL_PROCESS_MULTIPLE_TARGETS,"Process mapping matches multiple tdr_process rows under the WO.",1919,rod:30062,R8268,W107440,"Micro Custom Tools","CAD Removal","CAD Removal",STD_PROCESS_CAD,"2025-12-15 00:00:00","2025-12-25 00:00:00",2.0000,0.0000,2.0000,tdr_processes,193|200
DETAIL_PROCESS_TARGET_NOT_FOUND,"Process mapping exists, but no matching tdr_process row exists under this WO.",2047,rod:30048,R8269,W107332,"SkyService F.B.O. Inc.","Nital Etch","Etch Inspection",STD_PROCESS_ETCH,"2025-12-15 00:00:00","2025-12-17 00:00:00",1.0000,0.0000,1.0000,tdr_processes,process_name_ids=11
