part_number,assy_part_number,name,ipl_num,assy_ipl_num,eff_code,units_assy,log_card,repair,is_bush,bush_ipl_num
190-70555-001,, PIN  PINTLE  ,1-10,,,2,,,,
MS24665-210,, PIN  COTTER  ,1-20,,,2,,,,
MS14144L6,, NUT  SELF LOCKING   CASTELLATED,1-30,,,2,,,,
NAS1149F0632P,, WASHER  FLAT  ,1-40,,,4,,,,
170-70575-001,, BOLT   ,1-50,,,2,,,,
MS16625-1125,, RING  RETAINING  ,1-60,,,2,,,,
170-70568-001,, WASHER   ,1-70,,,2,,,,
MS24665-153,, PIN  COTTER  ,1-80,,,1,,,,
PE2207814,, NUT  CASTELLATED   SELF LOCKING,1-90,,,1,,,,
NAS1149C0432R,, WASHER  FLAT  ,1-100,,,1,,,,
170-70561-001,, BOLT   ,1-110,,,1,,,,
170-70572-001,, NUT   ,1-120,1,,1,,,,
170-70572-003,, NUT   ,1-120A,1AB,,1,,,,
MS20995C32,, LOCKWIRE   ,1-125,,,AR,,,,
PNE1040001-002,, WAX  HEAT SHRINKABLE  ,1-127,,,1,,,,
170-70569-001,, COVER  JOINT  ,1-130,1,,1,,,,
170-70615-001,, SPACER  LOCK  ,1-132,1AB,,1,,,,
170-70616-001,, WASHER  LOCK  ,1-135,1AB,,1,,,,
170-70566-001,, SLEEVE   ,1-140,,,1,,,,
190-70562-001,, SPACER  MIDDLE AXLE  ,1-150,,,1,,,,
190-70560-001,, AXLE  MIDDLE  ,1-160,,,1,,,,
PNE104003-016,, PLATE  NAME  ,1-170,,,1,,,,
190-70553-001,190-70580-401, BRACE  UPPER ,1-182,1-180,,1,,,,
190-70553-003,190-70580-403, BRACE  UPPER ,1-182A,1-180A,,1,,,,
190-70553-005,190-70580-405, BRACE  UPPER ,1-182B,1-180B,,1,,,,
170-70563-001,,BUSHING,1-190,,,2,,,1,1-190
170-70563-301,,BUSHING,1-191,,,2,,,1,1-190
170-70563-303,,BUSHING,1-192,,,2,,,1,1-190
MF1008HBB005,,BUSHING,1-200,,,4,,,1,1-200
MF1008HBB005R,,BUSHING,1-201,,,4,,,1,1-200
190-70565-001,,BUSHING,1-210,,,2,,,1,1-210
190-70565-301,,BUSHING,1-211,,,2,,,1,1-210
190-70565-303,,BUSHING,1-212,,,2,,,1,1-210
190-70564-001,,BUSHING,1-220,,,2,,,1,1-220
190-70564-301,,BUSHING,1-221,,,2,,,1,1-220
190-70564-303,,BUSHING,1-222,,,2,,,1,1-220
170-70174-301,,BUSHING,1-225,,,2,,,1,1-225
A9660-3,, HOSE ASSY (V50948)   ,1-230,,,2,,,,
5088-21-14,, ADHESIVE TAPE (V50948)   ,1-231,,,2,,,,
A9664-3,, HOSE ASSY (V50948)   ,1-240,,,1,,,,
5088-21-14,, ADHESIVE TAPE (V50948)   ,1-241,,,2,,,,
A9665-2,, HOSE ASSY (V50948)   ,1-250,,,1,,,,
5088-21-14,, ADHESIVE TAPE (V50948)   ,1-251,,,2,,,,
AS576-04,, NUT  HEXAGON (V66774)  ,1-260,,,2,,,,
NAS1149F0732P,, WASHER  FLAT  ,1-270,,,2,,,,
MS21924-4,, UNION   ,1-280,,,2,,,,
LN9264-10X160,, JUMPER ASSY  ELECTRIC BONDING ,1-290,,,1,,,,
MS21042-4,, NUT  SELF-LOCKING 450 DEG F  ,1-300,,,1,,,,
NAS1197-416,, WASHER  PLAIN  ,1-310,,,1,,,,
AN4-7A,, BOLT   ,1-320,,,1,,,,
MS35338-44,, WASHER  LOCK   SPRING,1-330,,,1,,,,
NAS1149F0432P,, WASHER  FLAT  ,1-340,,,1,,,,
NAS1197-416L,, WASHER  FLAT  ,1-350,,,1,,,,
MS21042L3,, NUT  SELF-LOCKING 450 DEG F  ,1-360,,,1,,,,
NAS1149F0332P,, WASHER  FLAT  ,1-370,,,2,,,,
MS35338-43,, WASHER  LOCK   SPRING,1-380,,,1,,,,
AN3-4A,, BOLT  HEXAGON HEAD  ,1-390,,,1,,,,
LN9264-4X125,, JUMPER ASSY  ELECTRIC BONDING ATTACHING PARTS  ,1-400,,,1,,,,
MS21042L3,, NUT  SELF-LOCKING 450 DEG F  ,1-410,,,1,,,,
NAS1149F0332P,, WASHER  FLAT  ,1-420,,,2,,,,
MS35338-43,, WASHER  LOCK   SPRING,1-430,,,1,,,,
AN3-6A,, BOLT  HEXAGON HEAD  ,1-440,,,1,,,,
190-70570-401,, BRACE  LOWER ASSY  ,1-450,,,1,,,,
190-70556-001,, BRACE  LOWER  ,1-452,,,1,,,,
170-70567-901,, BEARING  SPHERICAL (SEL FROM ITEMS -461 OR -462 FOR REPAIR)  ,1-460,,,2,,,,
170-70623-901,, BEARING  SPHERICAL (USE ONLY FOR REPAIR)  ,1-461,,,2,,1-460,,
170-70624-901,, BEARING  SPHERICAL (USE ONLY FOR REPAIR)  ,1-462,,,2,,1-460,,
MS15002-1,, FITTING  LUBRICATION SUPSD BY ITEM -470A  ,1-470,,,2,,,,
AS15002-1P,, FITTING  LUBRICATION SUPSDS ITEM 470  ,1-470A,,,2,,,,
282101,,  WASHER  IDENTIFICATION (VF6137)  ,1-480,,,2,,,,
