part_number,assy_part_number,name,ipl_num,assy_ipl_num,eff_code,units_assy,log_card,repair,is_bush,bush_ipl_num
49345-1,,"Cover Assembly, Switch", 1-10,,,1,,,,
MS2104213,,Nut, 1-20,,,3,,,,
NAS11490332R,,Washer, 1-30,,,6,,,,
NAS6303-3,,Bolt, 1-40,,,2,,,,
NAS6303-5,,Bolt, 1-50,,,1,,,,
49345-103,,Lug, 1-60,,,1,,,,
MS21042L3,,Nut, 1-70,,,1,,,,
NAS11490332R,,Washer, 1-80,,,2,,,,
NAS630302,,Bolt, 1-90,,,1,,,,
49345-105,,Angle,1-100,,,1,,,,
49345-101,,Cover,1-110,,,1,,,,
49313-1,,Harness Assembly,1-120,,ABCGHJ,1,1,,,
49313-5,,Harness Assembly,1-120A,,DEFKLM,1,1,,,
49313-9,,Harness Assembly,1-120B,,NPQUVWa,1,1,,,
49313-13,,Harness Assembly,1-120C,,RSTXYZb,1,1,,,
49313-3,,Harness Assembly,1-130,,ABCGHJ,1,1,,,
49313-7,,Harness Assembly,1-130A,,DEFKLM,1,1,,,
49313-11,,Harness Assembly,1-130B,,NPQUVWa,1,1,,,
49313-15,,Harness Assembly,1-130C,,RSTXYZb,1,1,,,
MS21042L3,,Nut,1-140,,ABCDEFGHIJKLM,7,,,,
MS21042L3,,Nut,1-140A,,NOPQRSTUVWXYZab,5,,,,
NAS11490332R,,Washer,1-150,,ABCDEFGHIJKLM,14,,,,
NAS11490332R,,Washer,1-150A,,NOPQRSTUVWXYZab,10,,,,
NAS6303-4,,BoIt,1-160,,ABCDEFGHIJKLM,7,,,,
NAS6303-4,,BoIt,1-160A,,NOPQRSTUVWXYZab,4,,,,
NAS6303-5,,BoIt,1-160B,,NOPQRSTUVWXYZab,1,,,,
TA02212H0L06EP,,Clamp ,1-170,,ABCDEFGHIJKLM,7,,,,
M85052-2-6,,Clamp ,1-170A,,ABCDEFGHIJKLM,7,,,,
MS21919MC66,,Clamp ,1-170B,,ABCDEFGHIJKLM,7,,,,
TA02212H0L06EP,,Clamp ,1-170C,,NOPQRSTUVWXYZab,6,,,,
M85052-2-6,,Clamp ,1-170D,,NOPQRSTUVWXYZab,6,,,,
MS21919MCE6,,Clamp ,1-170E,,NOPQRSTUVWXYZab,6,,,,
MS21042L3,,Nut,1-180,,,1,,,,
NAS1149C0332R,,Washer,1-190,,,2,,,,
NAS6303-4,,Bolt,1-200,,,1,,,,
