"id","Code","Material","Specification","VER","created_at","updated_at"
"2","AM-0005","Thread","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"3","AM-0010","Sealant","Mastinox","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"4","AM-0015","Sealant","Humiseal","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"5","AM-0020","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"6","AM-0025","Resin","Araldite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"7","AM-0030","Hardener","Hardener","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"8","AM-0035","Silicon","Dow","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"9","AM-0040","Thread","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"10","AM-0045","Sealant","Loctite RC/601 and Locquic Primer","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"11","AM-0050","Thread","LoctiteTreadlocker Blue 242","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"12","AM-0055","Adhesive","Adhesive","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"13","AM-0060","Adhesive","Adhesive","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"14","AM-0065","Sealant","Micro-crystaline wax (JAN-P-115)","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"15","AM-0070","Resin","Araldite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"16","AM-0075","Hardener","Hardener","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"17","AM-0080","Cement","Boscolite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"18","AM-0085","Cement","EC2216","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"19","AM-0090","Cement","F246+","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"20","AM-0095","Cement","847/1236","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"21","AM-0100","Clement","Redux","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"22","AM-0105","Cement","Redux","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"23","AM-0110","Cement","Rhodorsil","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"24","AM-0115","Cement","Scotch-Grip","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"25","AM-0120","Cement","Scotch-Weld","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"26","AM-0125","Adhesive","S1006","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"27","AM-0130","Cement","Sicaflex","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"28","AM-0135","Cement","Vibratite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"29","AM-0140","Cement","WM250","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"30","AM-0145","Sealant","Metco","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"31","AM-0150","Not",,"NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","AM-0155","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"33","AM-0160","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"34","AM-0165","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"35","AM-0170","Sealant","LOCTITE-BLOCPRESS","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"36","AM-0175","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"37","AM-0180","Activator","Locquic","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"38","AM-0185","See",,"NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"39","AM-0190","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"40","AM-0195","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"41","AM-0200","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"42","AM-0205","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"43","AM-0210","Adhesive","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"44","AM-0215","Activator","Loctite","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"45","AM-0220","Rubber","PR1221A","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"46","AM-0225","Rubber","MIL-S-7502 Class A2","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"47","AM-0230","Rubber","PR1436GA2","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"48","AM-0235","Rubber","MIL-S-8802 Class A2","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"49","AM-0240","Rubber","PR1436GB2","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"50","AM-0245","Rubber","MIL-S-8802 Class B2","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"51","AM-0250","Rubber","PR1764GB2","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"52","AM-0255","Rubber","PR1826A2","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"53","AM-0260","Rubber","PR1826B2","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"54","AM-0265","Sealant","Rhodorsil","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"55","AM-0270","Sealant","Silastic","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"56","AM-0275","Sealant","MIL-A-25457","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"57","AM-0280","CemeNT","S1125","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"58","AM-0285","Not used",,"NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
"59","AM-0290","Catalyst","Permafil","NEW","0000-00-00 00:00:00","0000-00-00 00:00:00"
