"id","partnumber","description","manufacturer","lib","aircraft","created_at","updated_at"
"6","FE188","RUDDER DAMPER ASSY.","RATIER FIGEAC","1","ATR 42/72","0000-00-00 00:00:00","0000-00-00 00:00:00"
"7","FE205","RUDDER DAMPER ASSY.","RATIER FIGEAC","1","ATR 42/72","0000-00-00 00:00:00","0000-00-00 00:00:00"
"8","10600","MLG AUXILIARY ACTUATOR","SAFRAN LS","2",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"9","10500","ACTUATOR, RETRACT","SAFRAN LS","3","DASH-8","0000-00-00 00:00:00","0000-00-00 00:00:00"
"10","16040","NOSE LANDING GEAR ASSY","SAFRAN LS","4","CRJ 100/200","0000-00-00 00:00:00","0000-00-00 00:00:00"
"11","320499","SOLENOID VALVE ASSY","HONEYWELL","5","ATR 42/72","0000-00-00 00:00:00","0000-00-00 00:00:00"
"12","3214958","PRESSURE REGULATING AND SHUTOFF VALVE","HONEYWELL","5","ATR 42","0000-00-00 00:00:00","0000-00-00 00:00:00"
"13","40110","MAIN LANDING GEAR ASSEMBLY, L/H","SAFRAN LS","6","CL300","0000-00-00 00:00:00","0000-00-00 00:00:00"
"14","40610","NOSE LANDING GEAR ASSEMBLY","SAFRAN LS","7","CL300","0000-00-00 00:00:00","0000-00-00 00:00:00"
"15","40900","NLG DRAG BRACE ASSEMBLY","SAFRAN LS","8","CL300","0000-00-00 00:00:00","0000-00-00 00:00:00"
"16","40120","HARNESS ASSEMBLY, INBD WSS AND WOW # 1- LEFT, MLG","SAFRAN LS","9",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"17","40121","HARNESS ASSEMBLY, OUTBD WSS AND WOW # 2- LEFT, MLG","SAFRAN LS","9",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"18","40550","HARNESS ASSEMBLY, DOWNLOCK SENSOR # 1, MLG","SAFRAN LS","9",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"19","40621","HARNESS ASSEMBLY, TAXI LIGHT, LANDING LIGHT, WOW # 2, NLG","SAFRAN LS","9",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"20","40622","HARNESS ASSEMBLY, EHSV, PFS AND WOW # 1, NLG","SAFRAN LS","9",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"21","40901","HARNESS ASSEMBLY, DOWNLOCK SENSOR # 1, NLG","SAFRAN LS","9",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"22","40902","HARNESS ASSEMBLY, DOWNLOCK SENSOR # 2, NLG","SAFRAN LS","9",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
"23","1227100","STEERING MANIFOLD ASSEMBLY","ZODIAC AEROSPACE","10","CL300","0000-00-00 00:00:00","0000-00-00 00:00:00"
"24","40700","NLG RETRACTION ACTUATOR ASSEMBLY","SAFRAN LS","11",,"0000-00-00 00:00:00","0000-00-00 00:00:00"
