"figure","item","ipl_num","part_number","name_ocr","source_page","source_y"
"10","1","10-1","190-70453-401","NLG SHOCK STRUT, ASSY","f10-p00.png","645"
"10","1B","10-1B","190-70453-601","NLG swock STRUT, ASSY","f10-p00.png","1395"
"10","10","10-10","190-70453-609","NLG SHOCK STRUT, ASSY","f10-p01.png","601"
"10","1K","10-1K","190-70453-411","NLG SHOCK STRUT, ASSY","f10-p01.png","1986"
"10","30C","10-30C","190-70500-405","MAIN FITTING ASSY","f10-p02.png","574"
"10","35A","10-35A","190-70455-003","MAIN FITTING","f10-p02.png","876"
"10","37","10-37","190-70748-301","BUSHING","f10-p02.png","1000"
"10","38","10-38","170-70177-301","BUSHING","f10-p02.png","1141"
"10","40","10-40","190-70512-001","BUSHING, PIN RIGHT","f10-p02.png","1282"
"10","41","10-41","190-70512-301","mjäl-jlÅG, PINTLE PIN RIGHT","f10-p02.png","1473"
"10","41A","10-41A","190-70512-303","I*BUSHING, PINTLE PIN RIGHT","f10-p02.png","1632"
"10","50","10-50","170-70514-001","BUSHING, PINTLE PIN LEFT","f10-p02.png","1756"
"10","51","10-51","170-70514-60F","BUSHING, PINTLE PIN LEFT","f10-p02.png","1947"
"10","100","10-100","170170502-1003","30, 30A","f10-p03.png","2277"
"10","71A","10-71A","170-70515-303","BUSHING, FRONT DOOR","f10-p03.png","622"
"10","80","10-80","170-70516-001","BUSHING, FRONT DOOR","f10-p03.png","747"
"10","81","10-81","170-70516-301","BUSHING, FRONT DOOR","f10-p03.png","937"
"10","81A","10-81A","170-70516-303","BUSHING, FRONT DOOR","f10-p03.png","1098"
"10","90","10-90","MF1037H7B026","30, 30A","f10-p03.png","1222"
"10","90A","10-90A","170-70747-001","BUSHING","f10-p03.png","1480"
"10","91","10-91","MF1037H7B026R","30, 30A","f10-p03.png","1704"
"10","91A","10-91A","170-70747-301","BUSHING","f10-p03.png","1963"
"10","91B","10-91B","170-70747-3630","30BC","f10-p03.png","2136"
"10","101B","10-101B","170-70502-307","BUSHING","f10-p04.png","796"
"10","110","10-110","170-70449-001","BUSHING","f10-p04.png","919"
"10","111","10-111","170-70449-301","BIUéålNG' [z","f10-p04.png","1420"
"10","111B","10-111B","170-70449-305","BUSHING","f10-p04.png","1803"
"10","120","10-120","KRJ8UDSBO.12J","BUSHING, SELF-LUBRICATING","f10-p04.png","1926"
"10","10","10-10","170-70505-001","BUSHING","f10-p05.png","589"
"10","160","10-160","MF1016H7M025","'BIJSÅING","f10-p05.png","1680"
"10","161A","10-161A","170-70176-301","BUSHING","f10-p05.png","2011"
"10","191","10-191","190-70479-301","SLEEVE","f10-p06.png","606"
"10","200","10-200","190-70637-001","SLEEVE, SHOCK ABSORBER","f10-p06.png","730"
"10","201","10-201","190-70637-301","SLEEVE, SHOCK ABSORBER?","f10-p06.png","889"
"10","210","10-210","MS21209F6-25","INSERT, HELICAL cob(","f10-p06.png","1012"
"10","220","10-220","MS21209F4-15","INSERT, HELICAL,CÖiLEÄ","f10-p06.png","1104"
"10","240","10-240","MS15001-1","","f10-p06.png","1287"
"10","260","10-260","MS20995C32","WIRE, LOCK","f10-p06.png","1761"
"10","265","10-265","PNE104001-002","WAX, HEAT SHRINKABLE","f10-p06.png","1870"
"10","270","10-270","190-705063001","SCREW* SET","f10-p06.png","1995"
"10","319","10-319","17640476-001","RACK","f10-p06.png","2361"
"10","330","10-330","190-70439-001","SCREW, SET","f10-p06.png","2886"
"10","3FOA","10-3FOA","170-70476-901","RACK","f10-p06.png","2569"
"10","10","10-10","340170-70434-003","WASHER, LOCK","f10-p07.png","603"
"10","340","10-340","170-70434-003","WASHER, LOCK","f10-p07.png","603"
"10","350","10-350","MS15001-1","FITTIN@ LUBRICATION","f10-p07.png","694"
"10","350A","10-350A","AS15001-1P","FITTING, LUBRICATION","f10-p07.png","904"
"10","360","10-360","190-70507-001","SCREW, SET","f10-p07.png","1029"
"10","370","10-370","170-70434-003","WASHER, LOCK","f10-p07.png","1120"
"10","380","10-380","MS20995C32","WIRE, LOCK","f10-p07.png","1210"
"10","385","10-385","PNE104001-002","WAX, HEAT SHRINKABI-É","f10-p07.png","1303"
"10","390","10-390","190-70635-401","VALVE, OHAN6éÖVER","f10-p07.png","1444"
"10","400","10-400","M83461-1-008","PAQKING( é\éFORMED","f10-p07.png","1536"
"10","410","10-410","MS27595-008","R*lNGhBACK-UP","f10-p07.png","1677"
"10","420","10-420","190-70646-401","SUPPORT ASSY, STEER\NG NLG","f10-p07.png","1768"
"10","425","10-425","190-70474-001","SUPPORT , STEERING NLG","f10-p07.png","1878"
